Timestamp,program,gender,AGE,HEIGHT,WEIGHT,SALARY_OLD,SALARY_GRAD,DESIRE_WORK_ORG,PARENTS,EXPENSES,TRANSPORT,COST_TRANSPORTATION,COST_ENTERTAINMENT,HAND,CELL_PHONE,SMOKE,foot_size,alcohol,tattoo,sleep,social,homework,work,travel,tuition,coffee,BMI,place,hours
2022/09/08 10:53:12 pm GMT-7,BABI,female,30.0,157.0,68.0,1400.0,3000.0,1. LARGE CORPORATION,False,400.0,2. PUBLIC TRANSPORT,16.0,20.0,0. RIGHT-HANDED,64.0,False,9.6,2.0,False,8.0,2.0,1.0,0.0,True,False,2.0,27.59,Vancouver,300
2022/09/09 9:39:32 am GMT-7,BABI,female,37.0,172.72,56.36,4000.0,5000.0,1. LARGE CORPORATION,False,4000.0,2. PUBLIC TRANSPORT,50.0,20.0,0. RIGHT-HANDED,55.0,False,9.25,3.0,False,6.0,3.0,3.0,40.0,True,True,1.0,18.89,Vancouver,300
2022/09/09 11:05:11 am GMT-7,BABI,female,33.0,147.0,43.0,5779.0,8000.0,1. LARGE CORPORATION,False,2000.0,2. PUBLIC TRANSPORT,,300.0,1. LEFT-HANDED,55.0,False,9.0,2.0,True,7.0,10.0,5.0,40.0,True,False,1.0,19.9,Vancouver,300
2022/09/09 4:19:38 pm GMT-7,BABI,female,38.0,157.0,44.0,6000.0,7000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,2500.0,2. PUBLIC TRANSPORT,100.0,200.0,0. RIGHT-HANDED,65.0,False,,0.0,False,6.0,7.0,10.0,40.0,True,True,2.0,17.85,Vancouver,300
2022/09/10 4:58:17 pm GMT-7,BABI,male,25.0,175.0,77.0,5833.0,8600.0,2. SMALL COMPANY,False,2700.0,2. PUBLIC TRANSPORT,15.0,200.0,0. RIGHT-HANDED,47.0,False,10.5,2.0,True,7.0,7.0,10.0,50.0,True,True,1.0,25.14,Vancouver,300
2022/09/10 11:59:29 pm GMT-7,BABI,female,26.0,162.0,68.0,1200.0,3750.0,2. SMALL COMPANY,True,0.0,3. DRIVE,50.0,30.0,0. RIGHT-HANDED,82.0,False,9.5,0.0,False,6.0,49.0,30.0,20.0,True,False,0.0,25.91,Vancouver,300
2022/09/11 6:29:33 pm GMT-7,BABI,male,25.0,164.0,47.0,0.0,5500.0,2. SMALL COMPANY,True,150.0,2. PUBLIC TRANSPORT,50.0,100.0,0. RIGHT-HANDED,35.0,False,9.4,0.0,False,7.0,10.0,5.0,28.0,True,False,0.0,17.47,Vancouver,300
2022/09/11 7:56:29 pm GMT-7,BABI,female,26.0,163.0,68.0,4300.0,5000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,2400.0,2. PUBLIC TRANSPORT,30.0,150.0,1. LEFT-HANDED,62.0,False,9.0,1.0,True,7.0,4.0,10.0,45.0,True,False,0.0,25.59,Vancouver,300
2022/09/11 9:01:55 pm GMT-7,BABI,male,32.0,168.0,74.0,4000.0,6500.0,1. LARGE CORPORATION,False,,2. PUBLIC TRANSPORT,40.0,350.0,0. RIGHT-HANDED,40.0,False,9.5,0.0,False,8.0,2.0,2.0,40.0,True,True,0.0,26.22,Vancouver,300
2022/09/12 9:17:49 am GMT-7,BABI,male,63.0,170.0,70.0,2500.0,5000.0,1. LARGE CORPORATION,False,3500.0,2. PUBLIC TRANSPORT,100.0,100.0,0. RIGHT-HANDED,10.0,True,10.0,0.0,False,5.0,0.0,10.0,40.0,True,True,1.0,24.22,Vancouver,300
2022/09/12 7:45:58 pm GMT-7,BABI,male,27.0,180.0,87.0,4000.0,5000.0,1. LARGE CORPORATION,False,650.0,2. PUBLIC TRANSPORT,50.0,50.0,0. RIGHT-HANDED,86.0,False,11.0,0.0,False,8.0,10.0,20.0,40.0,True,True,2.0,26.85,Vancouver,300
2022/09/13 7:23:09 pm GMT-7,BABI,female,29.0,157.0,75.0,4410.0,5940.0,1. LARGE CORPORATION,False,2355.0,2. PUBLIC TRANSPORT,,500.0,0. RIGHT-HANDED,50.0,False,8.5,0.0,False,7.0,1.0,16.0,35.0,True,False,1.0,30.43,Vancouver,300
2022/09/14 8:42:12 pm GMT-7,BABI,female,26.0,161.0,55.0,3100.0,67000.0,1. LARGE CORPORATION,False,1200.0,2. PUBLIC TRANSPORT,,50.0,0. RIGHT-HANDED,65.0,False,9.0,1.0,False,,,4.0,0.0,True,True,2.0,21.22,Vancouver,300
2022/09/14 9:11:02 pm GMT-7,BABI,male,23.0,174.0,59.0,0.0,70000.0,1. LARGE CORPORATION,True,500.0,2. PUBLIC TRANSPORT,0.0,20.0,0. RIGHT-HANDED,55.0,False,9.88,0.0,False,5.0,9.0,15.0,25.0,True,True,1.0,19.49,Vancouver,300
2023/01/16 11:00:45 am GMT-8,BITMAN,male,25.0,170.0,81.0,1200.0,6000.0,1. LARGE CORPORATION,False,2000.0,3. DRIVE,400.0,500.0,0. RIGHT-HANDED,15.0,True,10.0,1.0,False,5.0,15.0,7.0,26.0,True,True,1.0,28.03,Burnaby,1500
2023/01/16 9:57:12 pm GMT-8,BITMAN,male,28.0,178.0,82.0,2.0,4000.0,2. SMALL COMPANY,False,1000.0,2. PUBLIC TRANSPORT,40.0,100.0,0. RIGHT-HANDED,36.0,False,10.0,0.0,False,7.0,4.0,5.0,20.0,True,True,0.0,25.88,Burnaby,1500
2023/01/23 10:30:38 pm GMT-8,BITMAN,male,26.0,181.0,83.0,2600.0,4000.0,1. LARGE CORPORATION,False,1500.0,1. WALK,0.0,500.0,0. RIGHT-HANDED,55.0,True,,10.0,False,6.5,7.0,16.0,20.0,True,True,1.0,25.34,Burnaby,1500
2023/03/08 8:36:17 pm GMT-8,BITMAN,female,28.0,158.0,49.0,3000.0,6500.0,1. LARGE CORPORATION,False,3700.0,2. PUBLIC TRANSPORT,0.0,700.0,2. AMBIDEXTROUS,45.0,False,91.0,15.0,False,9.0,1.0,20.0,15.0,True,False,2.0,19.63,Burnaby,1500
2023/09/07 12:59:17 pm GMT-7,BABI,male,34.0,185.0,81.0,5000.0,6000.0,1. LARGE CORPORATION,False,1200.0,3. DRIVE,50.0,200.0,0. RIGHT-HANDED,60.0,False,11.0,2.0,False,6.0,5.0,10.0,0.0,True,True,2.0,23.67,Vancouver,300
2023/09/08 3:09:23 pm GMT-7,BABI,female,26.0,163.0,58.0,6000.0,8000.0,1. LARGE CORPORATION,False,3000.0,2. PUBLIC TRANSPORT,30.0,500.0,0. RIGHT-HANDED,50.0,False,9.0,0.0,False,7.0,3.0,12.0,40.0,True,True,1.0,21.83,Vancouver,300
