Timestamp,program,gender,AGE,HEIGHT,WEIGHT,SALARY_OLD,SALARY_GRAD,DESIRE_WORK_ORG,PARENTS,EXPENSES,TRANSPORT,COST_TRANSPORTATION,COST_ENTERTAINMENT,HAND,CELL_PHONE,SMOKE,foot_size,alcohol,tattoo,sleep,social,homework,work,travel,tuition,coffee,BMI
2025/01/09 5:44:20 pm GMT-8,BABI,male,57.0,164,65,20000,6000,2. SMALL COMPANY,False,6000,5. OTHER,40,50,0. RIGHT-HANDED,65,False,8,1,False,8,1,30,0,True,True,0,24.17
2025/01/09 7:37:17 pm GMT-8,BABI,male,57.0,164,65,20000,6000,2. SMALL COMPANY,False,6000,5. OTHER,40,20,0. RIGHT-HANDED,65,False,8,1,False,8,1,30,0,True,True,0,24.17
2025/01/10 9:04:37 pm GMT-8,BITMAN,male,59.0,170,80,3500,6500,1. LARGE CORPORATION,False,4300,2. PUBLIC TRANSPORT,50,150,0. RIGHT-HANDED,80,False,10,0,False,6,0,20,0,True,True,2,27.68
2025/01/16 2:34:47 pm GMT-8,MKTG,female,26.0,5,54.54,3100,3300,3. NON-PROFIT OR GOVERNMENT AGENCY,False,1200,3. DRIVE,300,10,0. RIGHT-HANDED,30,False,9,4,False,6.5,10,10,6,True,True,2,21816.0
2025/01/16 2:38:44 pm GMT-8,MKTG,male,25.0,177,68,2000,5000,1. LARGE CORPORATION,True,1200,3. DRIVE,300,500,0. RIGHT-HANDED,50,True,10.2,5,False,6,6,8,24,True,True,1,21.71
2025/01/16 2:44:32 pm GMT-8,MKTG,female,21.0,165,50,12,3000,2. SMALL COMPANY,False,2200,2. PUBLIC TRANSPORT,0,300,0. RIGHT-HANDED,80,False,9,2,False,7,20,30,0,True,False,0,18.37
2025/01/16 2:45:57 pm GMT-8,MKTG,female,20.0,158,32,2400,3000,1. LARGE CORPORATION,True,,3. DRIVE,240,300,0. RIGHT-HANDED,0,False,,,True,7,14,7,,True,False,,12.82
2025/01/16 2:46:48 pm GMT-8,BBA,male,22.0,176.784,74,0,3000,1. LARGE CORPORATION,False,500,2. PUBLIC TRANSPORT,0,100,1. LEFT-HANDED,86,False,6,1,False,7,11,5,24,True,False,4,23.68
2025/01/16 2:49:50 pm GMT-8,MKTG,female,22.0,165.1,48.5,0,80,1. LARGE CORPORATION,False,2,3. DRIVE,100,100,0. RIGHT-HANDED,0,True,,.1,False,7,20,5,0,True,False,1.5,17.79
2025/01/16 2:49:53 pm GMT-8,MKTG,female,20.0,168,74.84,0,5,1. LARGE CORPORATION,True,800,3. DRIVE,160,40,0. RIGHT-HANDED,90,False,9.69,0,True,11,14,17,7,True,False,0,26.52
2025/01/16 2:53:53 pm GMT-8,MKTG,male,18.0,6,70,0,4000,2. SMALL COMPANY,True,0,3. DRIVE,190,0,0. RIGHT-HANDED,0,False,12,0,False,8,10,15,8,False,False,0,19444.44
2025/01/16 2:57:44 pm GMT-8,MKTG,male,20.0,165,77,0,70,1. LARGE CORPORATION,True,0,3. DRIVE,0,200,2. AMBIDEXTROUS,40,True,,0,False,7,12,8,0,True,True,1,28.28
2025/01/16 3:44:40 pm GMT-8,MKTG,female,19.0,168,63,,4800,1. LARGE CORPORATION,True,100,2. PUBLIC TRANSPORT,0,400,0. RIGHT-HANDED,0,False,9.6,1,False,7,6,8,0,False,False,1,22.32
2025/01/16 3:52:11 pm GMT-8,MKTG,female,21.0,159,45,0,,2. SMALL COMPANY,False,,2. PUBLIC TRANSPORT,,,0. RIGHT-HANDED,,False,,0,False,7,,,0,True,False,0,17.8
2025/01/16 4:41:58 pm GMT-8,MKTG,female,27.0,164,50,0,5000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,3000,3. DRIVE,150,,0. RIGHT-HANDED,50,True,8.75,,False,9,3,10,0,True,True,1,18.59
2025/01/16 4:42:32 pm GMT-8,BMGT,male,21.0,178,66,0,3300,2. SMALL COMPANY,True,3900,3. DRIVE,700,0,0. RIGHT-HANDED,80,False,11.25,0,False,8,0,40,0,True,False,0,20.83
2025/01/16 4:47:45 pm GMT-8,BABI,female,24.0,161,57,0,4000,1. LARGE CORPORATION,True,200,2. PUBLIC TRANSPORT,0,20,0. RIGHT-HANDED,0,False,8,1,False,8,30,25,8,True,True,0,21.99
2025/01/16 5:03:30 pm GMT-8,MKTG,female,29.0,162,70,3500,2600,1. LARGE CORPORATION,False,1500,2. PUBLIC TRANSPORT,50,150,0. RIGHT-HANDED,69,False,9.25,0,True,6,21,35,0,True,True,0,26.67
2025/01/16 6:46:46 pm GMT-8,BMGT,female,23.0,63,158,4000,5000,1. LARGE CORPORATION,False,,3. DRIVE,60,,0. RIGHT-HANDED,48,False,,0,True,7.5,,,,True,False,1,398.09
2025/01/16 7:31:42 pm GMT-8,BABI,male,23.0,185,93,3700,3200,2. SMALL COMPANY,True,60,2. PUBLIC TRANSPORT,90,75,0. RIGHT-HANDED,50,False,9,1,False,7,5,10,8,True,True,0,27.17
2025/01/16 8:37:34 pm GMT-8,MKTG,male,24.0,170,81,5500,3500,1. LARGE CORPORATION,True,700,3. DRIVE,750,150,1. LEFT-HANDED,117,False,10.5,0,False,7,10,18,8,True,False,1,28.03
2025/01/16 11:11:41 pm GMT-8,MKTG,male,23.0,170,57,3000,5000,1. LARGE CORPORATION,True,750,2. PUBLIC TRANSPORT,50,30,0. RIGHT-HANDED,34,False,10,0,False,6,32,8,30,True,True,1,19.72
2025/01/17 6:25:04 am GMT-8,MKTG,male,26.0,168,80,0,800,2. SMALL COMPANY,False,4000,2. PUBLIC TRANSPORT,50,100,0. RIGHT-HANDED,30,False,9,2,False,7,5,6,0,True,False,1,28.34
2025/01/17 8:47:57 am GMT-8,BABI,male,21.0,183,71,4000,5000,1. LARGE CORPORATION,True,100,3. DRIVE,100,30,0. RIGHT-HANDED,0,False,10.5,0,False,7.5,20,4,5,True,False,0.5,21.2
2025/01/17 10:41:44 am GMT-8,OMPT,male,22.0,167.64,79.55,1000,1,1. LARGE CORPORATION,True,,2. PUBLIC TRANSPORT,5,40,0. RIGHT-HANDED,80,False,,,True,6,,2,10,True,True,,28.31
2025/01/17 10:51:34 am GMT-8,BMGT,male,20.0,178,84,3000,6000,1. LARGE CORPORATION,True,300,3. DRIVE,150,100,0. RIGHT-HANDED,70,True,11,0,False,7,10,15,16,True,False,1,26.51
2025/01/17 12:00:17 pm GMT-8,BBAD,female,22.0,172,57,0,4,1. LARGE CORPORATION,False,1,2. PUBLIC TRANSPORT,0,200,0. RIGHT-HANDED,50,False,9,4,False,7,15,10,12,True,True,2,19.27
2025/01/17 1:05:28 pm GMT-8,BABI,male,20.0,172,64,0,5000,1. LARGE CORPORATION,False,1400,2. PUBLIC TRANSPORT,0,300,0. RIGHT-HANDED,39,False,10.25,0,True,8,7,3,15,True,False,1,21.63
2025/01/18 12:53:57 pm GMT-8,BMGT,male,27.0,173,72,6000,6000,4. OTHER,False,2200,5. OTHER,180,50,0. RIGHT-HANDED,50,False,10,0,True,5,2,10,20,True,True,,24.06
2025/01/18 11:44:28 pm GMT-8,BABI,female,29.0,165,62,3200,5000,1. LARGE CORPORATION,True,150,2. PUBLIC TRANSPORT,0,300,0. RIGHT-HANDED,25,False,,2,False,7,14,24,25,True,False,0.5,22.77
2025/01/19 4:47:16 pm GMT-8,BMGT,male,22.0,188,72,3200,5000,2. SMALL COMPANY,True,300,3. DRIVE,100,100,0. RIGHT-HANDED,0,False,11,8,False,8,24,10,0,True,False,1,20.37
2025/01/19 7:41:28 pm GMT-8,BBAD,female,24.0,165.1,175,2000,5100,3. NON-PROFIT OR GOVERNMENT AGENCY,True,300,3. DRIVE,300,100,1. LEFT-HANDED,100,False,9.5,0,False,6,50,20,20,True,True,1,64.2
2025/01/19 8:09:31 pm GMT-8,BABI,female,21.0,167,165,0,5000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,1000,2. PUBLIC TRANSPORT,0,20,0. RIGHT-HANDED,45,False,9,0,False,6,5,10,22,True,False,1,59.16
2025/01/19 10:24:34 pm GMT-8,BMGT,female,19.0,182,55,0,5500,2. SMALL COMPANY,True,1000,2. PUBLIC TRANSPORT,110,200,0. RIGHT-HANDED,35,False,9.9,0,False,5,12,30,24,True,False,1,16.6
2025/01/20 10:55:29 am GMT-8,BMGT,female,22.0,157,55,0,2000,1. LARGE CORPORATION,True,750,3. DRIVE,400,200,0. RIGHT-HANDED,100,False,,1,True,8,3,4,16,True,True,2,22.31
2025/01/20 11:33:05 am GMT-8,COMP,male,21.0,169,125,0,75000,1. LARGE CORPORATION,True,300,3. DRIVE,400,30,0. RIGHT-HANDED,70,False,10.3,0,False,7,40,,0,True,False,0,43.77
2025/01/20 10:43:04 pm GMT-8,BITMAN,female,23.0,157,73,0,5447,2. SMALL COMPANY,True,300,2. PUBLIC TRANSPORT,68,12,0. RIGHT-HANDED,0,False,8.5,1,True,6,4,21,0,True,True,0,29.62
2025/01/23 9:33:54 am GMT-8,MKTG,female,18.0,170,119.20,0,1040,2. SMALL COMPANY,False,1350,2. PUBLIC TRANSPORT,47,20,0. RIGHT-HANDED,29,False,12.2,0,False,5,21,35,15,True,True,2,41.25
